ti_id;titel;jaar;druk;ppn_o;bibliotheek;categorie;_jaar;pers_id;voornaam;voorvoegsel;achternaam;jaar_geboren;jaar_overlijden;geb_datum;overl_datum;geb_plaats;overl_plaats;geb_plaats_code;geb_land_code;overl_plaats_code;overl_land_code;vrouw;url;text_url;maand;genre
aa__001chin01;China en zijne bewoners;ca. 1850-1860;1ste druk;393173720;haarl001stad01;1;1850;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001chin01_01;https://dbnl.org/nieuws/text.php?id=aa__001chin01;;jeugdliteratuur
aa__001biog03;Biographisch woordenboek der Nederlanden. Deel 2. Derde en vierde stuk;1855;1ste druk;;leide001dbnl01;1;1855;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog03_01;aa__001biog03_01;2009_11   ;non-fictie
aa__001biog01;Biographisch woordenboek der Nederlanden. Deel 1;1852;1ste druk;;leide001dbnl01;1;1852;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog01_01;aa__001biog01_01;2009_11   ;non-fictie
aa__001biog02;Biographisch woordenboek der Nederlanden. Deel 2. Eerste en tweede stuk;1854;1ste druk;;leide001dbnl01;1;1854;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog02_01;aa__001biog02_01;2009_11   ;non-fictie
aa__001biog04;Biographisch woordenboek der Nederlanden. Deel 3;1858;1ste druk;;leide001dbnl01;1;1858;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog04_01;aa__001biog04_01;2009_11   ;non-fictie
aa__001biog08;Biographisch woordenboek der Nederlanden. Deel 7;1862;1ste druk;;leide001dbnl01;1;1862;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog08_01;aa__001biog08_01;2009_11   ;non-fictie
aa__001biog09;Biographisch woordenboek der Nederlanden. Deel 8. Eerste stuk;1867;1ste druk;;leide001dbnl01;1;1867;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog09_01;aa__001biog09_01;2009_11   ;non-fictie
admi001oudh01;Oudheden;1878;1ste druk;393528286;leide001dbnl01;1;1878;admi001;Aart;;Admiraal;1833;1878;13-okt;12-nov;Goedereede;Schoonhoven;goede001;;schoo010;;0;https://dbnl.org/tekst/admi001oudh01_01;https://dbnl.org/nieuws/text.php?id=admi001oudh01;;proza
aker002clee01;Den Cleefschen Pegasus;1654;1ste druk;;leide001univ01;1;1654;aker002;Maria-Margareta;van;Akerlaecken;1605;na 1662;februari;;Dordrecht;Antwerpen?;dordr001;;antwe001;;1;https://dbnl.org/tekst/aker002clee01_01;aker002clee01_01;2020_06   ;poezie
alph002jidn01;Dichtwerken;1871;3de druk;393527859;leide001dbnl01;3;1871;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002jidn01_01;https://dbnl.org/nieuws/text.php?id=alph002jidn01;;poezie
alph002peti02;Petits poèmes, à l'usage de l'enfance;1835;2de druk;411884379;denha004koni01;3;1835;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002peti02_01;alph002peti02_01;2017_06   ;jeugdliteratuur
aa__001hand01;Handbuch der holländischen Umgangssprache;1840;1ste druk;;oxfor001bodl01;1;1840;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001hand01_01;aa__001hand01_01;2021_03   ;non-fictie
aa__001nieu03;Nieuw biographisch, anthologisch en critisch woordenboek van Nederlandsche dichters. Deel 3;1846;1ste druk;394978803;leide001univ01;1;1846;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001nieu03_01;aa__001nieu03_01;2003_09   ;sec - letterkunde
aa__001biog20;Biographisch woordenboek der Nederlanden. Deel 17. Eerste stuk;1874;1ste druk;;leide001dbnl01;1;1874;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog20_01;aa__001biog20_01;2009_11   ;non-fictie
aa__001biog21;Biographisch woordenboek der Nederlanden. Deel 17. Tweede stuk;1874;1ste druk;;leide001dbnl01;1;1874;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog21_01;aa__001biog21_01;2009_11   ;non-fictie
aa__001biog16;Biographisch woordenboek der Nederlanden. Deel 13;1868;1ste druk;;leide001dbnl01;1;1868;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog16_01;aa__001biog16_01;2009_11   ;non-fictie
aa__001biog17;Biographisch woordenboek der Nederlanden. Deel 14;1867;1ste druk;;leide001dbnl01;1;1867;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog17_01;aa__001biog17_01;2009_11   ;non-fictie
aa__001biog18;Biographisch woordenboek der Nederlanden. Deel 15;1872;1ste druk;;leide001dbnl01;1;1872;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog18_01;aa__001biog18_01;2009_11   ;non-fictie
aa__001biog19;Biographisch woordenboek der Nederlanden. Deel 16;1874;1ste druk;;leide001dbnl01;1;1874;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog19_01;aa__001biog19_01;2009_11   ;non-fictie
aa__001lotg01;Lotgevallen van Willem Heenvliet, vooral ook op Borneo en Bali;1851;1ste druk;393178099;haarl001stad01;1;1851;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001lotg01_01;https://dbnl.org/nieuws/text.php?id=aa__001lotg01;;jeugdliteratuur
aa__001biog26;Biographisch woordenboek der Nederlanden. Deel 21;1878;1ste druk;;leide001dbnl01;1;1878;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog26_01;aa__001biog26_01;2009_11   ;non-fictie
aa__001bekn01;Beknopte geschied- en aardrijkskundige beschrijving van het Koningrijk der Nederlanden en het Groothertogdom Luxemburg;1844;1ste druk;393184846;haarl001stad01;1;1844;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001bekn01_01;https://dbnl.org/nieuws/text.php?id=aa__001bekn01;;jeugdliteratuur
aa__001nieu04;Nieuw biografiesch, anthologiesch en kritisch woordenboek van Nederlandsche dichters. (3 delen);1864;nieuwe uitgave;394982215;leide001dbnl01;3;1864;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001nieu04_01;https://dbnl.org/nieuws/text.php?id=aa__001nieu04;;non-fictie
aa__001biog05;Biographisch woordenboek der Nederlanden. Deel 4;1858;1ste druk;;leide001dbnl01;1;1858;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog05_01;aa__001biog05_01;2009_11   ;non-fictie
aa__001biog06;Biographisch woordenboek der Nederlanden. Deel 5;1859;1ste druk;;leide001dbnl01;1;1859;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog06_01;aa__001biog06_01;2009_11   ;non-fictie
aa__001biog07;Biographisch woordenboek der Nederlanden. Deel 6;1859;1ste druk;;leide001dbnl01;1;1859;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog07_01;aa__001biog07_01;2009_11   ;non-fictie
aa__001biog10;Biographisch woordenboek der Nederlanden. Deel 8. Tweede stuk;1867;1ste druk;;leide001dbnl01;1;1867;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog10_01;aa__001biog10_01;2009_11   ;non-fictie
aa__001biog11;Biographisch woordenboek der Nederlanden. Deel 9;1860;1ste druk;;leide001dbnl01;1;1860;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog11_01;aa__001biog11_01;2009_11   ;non-fictie
aa__001biog12;Biographisch woordenboek der Nederlanden. Deel 10;1862;1ste druk;;leide001dbnl01;1;1862;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog12_01;aa__001biog12_01;2009_11   ;non-fictie
aa__001biog00;Biographisch woordenboek der Nederlanden;1852-1878;1ste druk;39497865X;;1;1852;aa__001;A.J.;van der;Aa;1792;1857;07-dec;21-mrt;Amsterdam;Gorinchem;amste001;;gorin001;;0;https://dbnl.org/tekst/aa__001biog00_01;https://dbnl.org/nieuws/text.php?id=aa__001biog00;;non-fictie
adam004nieu01;Nieuwe Nederlandsche vertellingen in proza en poëzij;1857;;393176428;haarl001stad01;1;1857;adam004;C.S.;;Adama van Scheltema sr.;1815;1897;25-jan;12-aug;Den Haag;Arnhem;denha004;;arnhe001;;0;https://dbnl.org/tekst/adam004nieu01_01;https://dbnl.org/nieuws/text.php?id=adam004nieu01;;jeugdliteratuur
alph002peti02;Petits poèmes, à l'usage de l'enfance;1835;2de druk;411884379;denha004koni01;3;1835;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002peti02_01;alph002peti02_01;2017_06   ;poezie
alph002proe09;Proeve van stichtelijke mengel-poëzij. Tweede Stukjen;1776;3de druk;;nijme001univ01;3;1776;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002proe09_01;alph002proe09_01;2017_10   ;poezie
alph002klei15;Kleine gedichten voor kinderen;1798;?;393176118;haarl001stad01;3;1798;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei15_01;https://dbnl.org/nieuws/text.php?id=alph002klei15;;jeugdliteratuur
alph002klei15;Kleine gedichten voor kinderen;1798;?;393176118;haarl001stad01;3;1798;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei15_01;https://dbnl.org/nieuws/text.php?id=alph002klei15;;poezie
alph002klei16;Kleine gedichten voor kinderen;1787;?;393176142;haarl001stad01;3;1787;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei16_01;https://dbnl.org/nieuws/text.php?id=alph002klei16;;jeugdliteratuur
alph002klei16;Kleine gedichten voor kinderen;1787;?;393176142;haarl001stad01;3;1787;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei16_01;https://dbnl.org/nieuws/text.php?id=alph002klei16;;poezie
alph002klei13;Kleine gedichten voor kinderen;ca. 1820-1830;?;393176134;haarl001stad01;3;1820;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei13_01;https://dbnl.org/nieuws/text.php?id=alph002klei13;;jeugdliteratuur
alph002klei13;Kleine gedichten voor kinderen;ca. 1820-1830;?;393176134;haarl001stad01;3;1820;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei13_01;https://dbnl.org/nieuws/text.php?id=alph002klei13;;poezie
alph002theo01;Theorie der schoone kunsten en wetenschappen. Eerste deel;1778;1ste druk;;leide001dbnl01;1;1778;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002theo01_01;https://dbnl.org/nieuws/text.php?id=alph002theo01;;non-fictie
alph002klei09;Kleine gedichten voor kinderen ;ca. 1795 ;?;393168751;haarl001stad01;3;1795;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei09_01;https://dbnl.org/nieuws/text.php?id=alph002klei09;;jeugdliteratuur
alph002klei09;Kleine gedichten voor kinderen ;ca. 1795 ;?;393168751;haarl001stad01;3;1795;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei09_01;https://dbnl.org/nieuws/text.php?id=alph002klei09;;poezie
alph002proe08;Proeve van stichtelijke mengel-poëzij. Derde Stukjen;1782;1ste druk;;nijme001univ01;1;1782;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002proe08_01;alph002proe08_01;2017_10   ;poezie
alph002peti01;Petits poèmes, à l'usage de l'enfance;1852;nieuwe, verbeterde druk;393182673;rotte002geme01;3;1852;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002peti01_01;https://dbnl.org/nieuws/text.php?id=alph002peti01;;jeugdliteratuur
alph002peti01;Petits poèmes, à l'usage de l'enfance;1852;nieuwe, verbeterde druk;393182673;rotte002geme01;3;1852;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002peti01_01;https://dbnl.org/nieuws/text.php?id=alph002peti01;;poezie
alph002proe01;Proeve van stigtelijke mengel-poëzij (3 delen);1771-1782;1ste druk;;;1;1771;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002proe01_01;https://dbnl.org/nieuws/text.php?id=alph002proe01;;poezie
alph002proe02;Proeve van liederen en gezangen voor den openbaaren godsdienst;1802;2de druk;393474437;amste001meer01;3;1802;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002proe02_01;alph002proe02_01;2010_01   ;poezie
alph002klei03;Kleine gedichten voor kinderen;ca. 1873;?;394964780;leide001dbnl01;3;1873;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei03_01;https://dbnl.org/nieuws/text.php?id=alph002klei03;;poezie
alph002klei03;Kleine gedichten voor kinderen;ca. 1873;?;394964780;leide001dbnl01;3;1873;alph002;Hieronymus;van;Alphen;1746;1803;08-aug;02-apr;Gouda;Den Haag;gouda001;;denha004;;0;https://dbnl.org/tekst/alph002klei03_01;https://dbnl.org/nieuws/text.php?id=alph002klei03;;jeugdliteratuur
ampz001besc01;Beschryvinge ende lof der stad Haerlem in Holland;1628;1ste druk;;utrec001univ01;1;1628;ampz001;Samuel;;Ampzing;1590;1632;24 juni (gedoopt);29-jul;Haarlem;Haarlem;haarl001;;haarl001;;0;https://dbnl.org/tekst/ampz001besc01_01;ampz001besc01_01;2020_11   ;poezie
ampz001besc01;Beschryvinge ende lof der stad Haerlem in Holland;1628;1ste druk;;utrec001univ01;1;1628;ampz001;Samuel;;Ampzing;1590;1632;24 juni (gedoopt);29-jul;Haarlem;Haarlem;haarl001;;haarl001;;0;https://dbnl.org/tekst/ampz001besc01_01;ampz001besc01_01;2020_11   ;non-fictie
ampz001klae01;Klaeglieden van den H. Propheet Ieremias;1629;1ste druk;377532568;denha004koni01;1;1629;ampz001;Samuel;;Ampzing;1590;1632;24 juni (gedoopt);29-jul;Haarlem;Haarlem;haarl001;;haarl001;;0;https://dbnl.org/tekst/ampz001klae01_01;ampz001klae01_01;2013_10   ;poezie
_bel013182601;Belgische Muzen-Almanak. Jaargang 1;1826;1ste druk;;denha004koni01;1;1826;_bel013;;;[tijdschrift] Belgische Muzen-Almanak;;;;;;;;;;;0;https://dbnl.org/tekst/_bel013182601_01;_bel013182601_01;2017_07   ;proza
_bel013182601;Belgische Muzen-Almanak. Jaargang 1;1826;1ste druk;;denha004koni01;1;1826;_bel013;;;[tijdschrift] Belgische Muzen-Almanak;;;;;;;;;;;0;https://dbnl.org/tekst/_bel013182601_01;_bel013182601_01;2017_07   ;poezie
_bel013belg01;Belgische Muzen-Almanak;1826-1830;1ste druk;;;1;1826;_bel013;;;[tijdschrift] Belgische Muzen-Almanak;;;;;;;;;;;0;https://dbnl.org/tekst/_bel013belg01_01;https://dbnl.org/nieuws/text.php?id=_bel013belg01;;proza
_bel013belg01;Belgische Muzen-Almanak;1826-1830;1ste druk;;;1;1826;_bel013;;;[tijdschrift] Belgische Muzen-Almanak;;;;;;;;;;;0;https://dbnl.org/tekst/_bel013belg01_01;https://dbnl.org/nieuws/text.php?id=_bel013belg01;;poezie
_hol021holl01;Hollandsch en Hoogduitsch woordenboekje;1814;1ste druk;;denha004koni01;1;1814;_hol021;anoniem;;Hollandsch en Hoogduitsch woordenboekje;;;;;;;;;;;0;https://dbnl.org/tekst/_hol021holl01_01;_hol021holl01_01;2020_05   ;sec - taalkunde
_wae002waer01;Waerachtich verhael van den oploop, twist ende tweedracht geschiedt tot Amsterdam in Hollant;1617;1ste druk;;gent_001univ01;1;1617;_wae002;anoniem;;Waerachtich verhael van den oploop, twist ende tweedracht geschiedt tot Amsterdam in Hollant;;;;;;;;;;;0;https://dbnl.org/tekst/_wae002waer01_01;_wae002waer01_01;2018_03   ;non-fictie
_som008somm01;Sommier verhael van de wreede handelinghe der bloet-dorstighe calvinisten, ghepleeght teghen de remonstranten buyten Rotterdam, op sondagh voorleden den xx. October. 1619;1619;1ste druk;;amste001univ01;1;1619;_som008;anoniem;;Sommier verhael van de wreede handelinghe der bloet-dorstighe calvinisten;;;;;;;;;;;0;https://dbnl.org/tekst/_som008somm01_01;_som008somm01_01;2018_05   ;non-fictie
_hol020holl01;Hollandsche nieuwe tijdinghen;1620;1ste druk;;gent_001univ01;1;1620;_hol020;anoniem;;Hollandsche nieuwe tijdinghen;;;;;;;;;;;0;https://dbnl.org/tekst/_hol020holl01_01;_hol020holl01_01;2018_05   ;non-fictie
_cor009cort01;Cort verhael uan al tghene binnen Utrecht gepasseert is;1618;1ste druk;;amste001univ01;1;1618;_cor009;anoniem;;Cort verhael uan al tghene binnen Utrecht gepasseert is;;;;;;;;;;;0;https://dbnl.org/tekst/_cor009cort01_01;_cor009cort01_01;2018_04   ;non-fictie
_rot005rott01;Rotterdamsche nieuwe tijdinghen;1620;1ste druk;;gent_001univ01;1;1620;_rot005;anoniem;;Rotterdamsche nieuwe tijdinghen;;;;;;;;;;;0;https://dbnl.org/tekst/_rot005rott01_01;_rot005rott01_01;2018_05   ;non-fictie
dubu003traz01;Trazimus en Timagenus, of den zegepraal der vriendschap;1788;1ste druk;;gent_001univ01;1;1788;dubu003;P.U.;;Dubuisson;1746;1794;;;;;;;;;0;https://dbnl.org/tekst/dubu003traz01_01;dubu003traz01_01;2018_03   ;drama
_cag001cage01;De Cagelot. Monstrum horrendum, informe, ingens;1785;1ste druk;;denha004koni01;1;1785;_cag001;anoniem;;De Cagelot. Monstrum horrendum, informe, ingens;;;;;;;;;;;0;https://dbnl.org/tekst/_cag001cage01_01;_cag001cage01_01;2018_09   ;poezie
_geu001geuz03;Geuzenliedboek;1574;1ste druk;;;1;1574;_geu001;anoniem;;Geuzenliedboek;;;;;;;;;;;0;https://dbnl.org/tekst/_geu001geuz03_01;https://dbnl.org/nieuws/text.php?id=_geu001geuz03;;poezie
abla001flat01;Flaters in en over boeken;1874;1ste druk;394962346;leide001dbnl01;1;1874;abla001;R.C.;d';Ablaing van Giessenburg;1826;1904;26-apr;13-mrt;Amsterdam;Amsterdam;amste001;;amste001;;0;https://dbnl.org/tekst/abla001flat01_01;https://dbnl.org/nieuws/text.php?id=abla001flat01;;sec - letterkunde
adam003nieu02;Nieuwe Nederlandsche vertellingen in proza en poëzij;1851;1ste druk;393182215;rotte002geme01;1;1851;adam003;C.S.;;Adama van Scheltema;1877;1924;26-feb;06-mei;Amsterdam;Bergen;amste001;;berge001;;0;https://dbnl.org/tekst/adam003nieu02_01;https://dbnl.org/nieuws/text.php?id=adam003nieu02;;jeugdliteratuur
adam003nieu01;Nieuwe Nederlandsche vertellingen in proza en poëzij;1851;1ste druk;393182207;rotte002geme01;1;1851;adam003;C.S.;;Adama van Scheltema;1877;1924;26-feb;06-mei;Amsterdam;Bergen;amste001;;berge001;;0;https://dbnl.org/tekst/adam003nieu01_01;https://dbnl.org/nieuws/text.php?id=adam003nieu01;;jeugdliteratuur
agro001nieu02;Nieuw handwoordenboek der Nederduitsche en Fransche talen. Derde deel P=Z;1811;1ste druk;394984390;leide001dbnl01;1;1811;agro001;Pierre;;Agron;1767;?;15 februari (gedoopt);;;;;;;;0;https://dbnl.org/tekst/agro001nieu02_01;https://dbnl.org/nieuws/text.php?id=agro001nieu02;;sec - taalkunde
aken002vand01;Van den coninc Saladijn ende van Hughen van Tabaryen;1299;handschrift;;;1;1299;aken002;Hein;van;Aken;ca. 1250;voor 1330;;;Brussel;;bruss002;;;;0;https://dbnl.org/tekst/aken002vand01_01;https://dbnl.org/nieuws/text.php?id=aken002vand01;;poezie
albe003drie01;Drie gedichten;1844;1ste druk;409041505;gent_001univ01;1;1844;albe003;J.A.;;Alberdingk Thijm;1820;1889;13-aug;17-mrt;Amsterdam;Amsterdam;amste001;;amste001;;0;https://dbnl.org/tekst/albe003drie01_01;albe003drie01_01;2017_02   ;poezie
albe003watw01;Wat wil men u doen vieren?;1872;1ste druk;412653990;denha004koni01;1;1872;albe003;J.A.;;Alberdingk Thijm;1820;1889;13-aug;17-mrt;Amsterdam;Amsterdam;amste001;;amste001;;0;https://dbnl.org/tekst/albe003watw01_01;albe003watw01_01;2017_07   ;non-fictie
albe003beat01;'Beatrijs';1847;1ste druk;;gedigitaliseerd i.s.m. het project Beatrijs Internationaal;1;1847;albe003;J.A.;;Alberdingk Thijm;1820;1889;13-aug;17-mrt;Amsterdam;Amsterdam;amste001;;amste001;;0;https://dbnl.org/tekst/albe003beat01_01;albe003beat01_01;2012_04   ;poezie
